epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3119.63,0.30939,0.29615,0.9062,0.92847,0.90207,0.94571,0.91846,0.17801,0.27371,0.80429,0.000742625,0.000742625,0.000742625
43,3193.56,0.30084,0.28841,0.90412,0.90938,0.88269,0.94328,0.91791,0.17008,0.3235,0.80309,0.00073025,0.00073025,0.00073025
44,3266.86,0.29887,0.28305,0.90214,0.94379,0.91502,0.9624,0.93402,0.17666,0.26859,0.80654,0.000717875,0.000717875,0.000717875
45,3340.66,0.29478,0.27548,0.89588,0.94589,0.88272,0.95452,0.93103,0.16979,0.29325,0.80622,0.0007055,0.0007055,0.0007055
46,3413.96,0.28733,0.26642,0.90563,0.95324,0.90515,0.96319,0.93485,0.17903,0.24808,0.80851,0.000693125,0.000693125,0.000693125
47,3487.24,0.27749,0.25569,0.8897,0.95127,0.91798,0.9715,0.94768,0.16791,0.26059,0.80446,0.00068075,0.00068075,0.00068075
48,3560.41,0.2957,0.27686,0.8997,0.95041,0.89803,0.95672,0.92789,0.17267,0.28738,0.8085,0.000668375,0.000668375,0.000668375
49,3633.56,0.28492,0.26641,0.89525,0.93775,0.9012,0.91686,0.89418,0.16653,0.30812,0.80552,0.000656,0.000656,0.000656
50,3708.73,0.28264,0.27664,0.9039,0.94804,0.88989,0.93532,0.90992,0.16016,0.31665,0.80568,0.000643625,0.000643625,0.000643625
51,3783.77,0.27695,0.26205,0.89319,0.91133,0.9031,0.95914,0.92981,0.15819,0.31315,0.80181,0.00063125,0.00063125,0.00063125
52,3857.54,0.28949,0.26856,0.90313,0.94032,0.89237,0.96255,0.93624,0.16026,0.26095,0.80238,0.000618875,0.000618875,0.000618875
53,3931.64,0.2929,0.25801,0.89872,0.96371,0.86008,0.95203,0.9305,0.16158,0.30988,0.80109,0.0006065,0.0006065,0.0006065
