epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,802.773,0.55008,2.22234,0.99424,0.96075,0.57955,0.86277,0.75526,0.37746,1.80192,0.85208,0.000413647,0.000413647,0.000413647
2,1612.88,0.55404,1.2572,0.97635,0.57446,0.5021,0.46938,0.41474,0.34647,2.87012,0.83966,0.000822094,0.000822094,0.000822094
3,2505.87,0.566,1.10499,0.98114,0.4439,0.64587,0.61268,0.55563,0.37019,3.33217,0.84659,0.00122229,0.00122229,0.00122229
